year,amount
1990,1731.209509
1991,2235.541089
1992,2459.020685
1993,2497.130559
1994,2874.831636
1995,3700.959568
1996,4163.511954
1997,4137.008318
1998,4533.535655
1999,4415.500675
2000,4520.641004
2001,5015.2379
2002,5223.45179
2003,5720.813662
2004,6711.727153
2005,8043.923323
2006,9068.855283
2007,11272.52937
2008,14048.56047
2009,11556.30269
2010,12567.73177
2011,13867.66694
2012,13087.42094
2013,13621.90238
2014,14262.28419
2015,12637.52203
2016,12464.01105
2017,13913.34029
2018,15658.21203
2019,15874.52205
2020,15987.57537
2021,18635.51049
2022,18891.21212
2023,22056.66617
